|TABLE_NAME                         |CONSTRAINT_NAME                       |CONSTRAINT_TYPE|STATUS  |VALIDATED    |COLUMN_NAME                           |POSITION|
|DEPARTAMENTO                       |SYS_C008329                           |C              |ENABLED |VALIDATED    |ACTIVE                                |        |
|DEPARTAMENTO                       |SYS_C008330                           |C              |ENABLED |VALIDATED    |FECHA_REGISTRO                        |        |
|DEPARTAMENTO                       |SYS_C008331                           |C              |ENABLED |VALIDATED    |USUARIO_REGISTRO                      |        |
|DEPARTAMENTO                       |PK_DEPARTAMENTO                       |P              |ENABLED |VALIDATED    |ID_DEPARTAMENTO                       |1       |
|DEPARTAMENTO                       |UQ_DEPARTAMENTO_CODIGO                |U              |ENABLED |VALIDATED    |CODIGO_DEPARTAMENTO_INEI              |1       |
|DISTRITO                           |SYS_C008344                           |C              |ENABLED |VALIDATED    |ID_DISTRITO                           |        |
|DISTRITO                           |SYS_C008345                           |C              |ENABLED |VALIDATED    |ID_DEPARTAMENTO                       |        |
|DISTRITO                           |SYS_C008346                           |C              |ENABLED |VALIDATED    |ID_PROVINCIA                          |        |
|DISTRITO                           |SYS_C008347                           |C              |ENABLED |VALIDATED    |CODIGO_DISTRITO_INEI                  |        |
|DISTRITO                           |SYS_C008348                           |C              |ENABLED |VALIDATED    |DESCRIPCION                           |        |
|DISTRITO                           |SYS_C008349                           |C              |ENABLED |VALIDATED    |ACTIVE                                |        |
|DISTRITO                           |SYS_C008350                           |C              |ENABLED |VALIDATED    |FECHA_REGISTRO                        |        |
|DISTRITO                           |SYS_C008351                           |C              |ENABLED |VALIDATED    |USUARIO_REGISTRO                      |        |
|DISTRITO                           |PK_DISTRITO                           |P              |ENABLED |VALIDATED    |ID_DISTRITO                           |1       |
|DISTRITO                           |FK_DISTRITO_DEPARTAMENTO              |R              |ENABLED |VALIDATED    |ID_DEPARTAMENTO                       |1       |
|DISTRITO                           |FK_DISTRITO_PROVINCIA                 |R              |ENABLED |VALIDATED    |ID_PROVINCIA                          |1       |
|DISTRITO                           |UQ_DISTRITO_CODIGO                    |U              |ENABLED |VALIDATED    |CODIGO_DISTRITO_INEI                  |1       |
|EXPEDIENTE                         |SYS_C008356                           |C              |ENABLED |VALIDATED    |ID_EXPEDIENTE                         |        |
|EXPEDIENTE                         |SYS_C008357                           |C              |ENABLED |VALIDATED    |ES_REGISTRO_SDRERC                    |        |
|EXPEDIENTE                         |SYS_C008358                           |C              |ENABLED |VALIDATED    |NUMERO_TRAMITE_DOCUMENTO              |        |
|EXPEDIENTE                         |SYS_C008359                           |C              |ENABLED |VALIDATED    |ID_USUARIO_CREA                       |        |
|EXPEDIENTE                         |SYS_C008360                           |C              |ENABLED |VALIDATED    |FECHA_REGISTRA                        |        |
|EXPEDIENTE                         |SYS_C008376                           |C              |ENABLED |VALIDATED    |CANAL_RECEPCION                       |        |
|EXPEDIENTE                         |EXPEDIENTE_PK                         |P              |ENABLED |VALIDATED    |ID_EXPEDIENTE                         |1       |
|EXPEDIENTE_ANALISIS_ABOGADO        |SYS_C008362                           |C              |ENABLED |VALIDATED    |ID_EXPEDIENTE_ANALISIS_ABOGADO        |        |
|EXPEDIENTE_ANALISIS_ABOGADO        |SYS_C008406                           |C              |ENABLED |VALIDATED    |ESTA_INCORPORADO                      |        |
|EXPEDIENTE_ANALISIS_ABOGADO        |SYS_C008407                           |C              |ENABLED |VALIDATED    |REQUIERE_RECONSTITUCION               |        |
|EXPEDIENTE_ANALISIS_ABOGADO        |SYS_C008408                           |C              |ENABLED |VALIDATED    |TIENE_LEGITIMIDAD                     |        |
|EXPEDIENTE_ANALISIS_ABOGADO        |SYS_C008409                           |C              |ENABLED |VALIDATED    |CUMPLE_MEDIOS_PROBATORIOS             |        |
|EXPEDIENTE_ANALISIS_ABOGADO        |EXPEDIENTE_ANALISIS_ABOGADO_PK        |P              |ENABLED |VALIDATED    |ID_EXPEDIENTE_ANALISIS_ABOGADO        |1       |
|EXPEDIENTE_ANALISIS_ABOGADO_DET_DOC|SYS_C008364                           |C              |ENABLED |VALIDATED    |ID_EXPEDIENTE_ANALISIS_ABOGADO_DET_DOC|        |
|EXPEDIENTE_ANALISIS_ABOGADO_DET_DOC|EXPEDIENTE_ANALISIS_ABOGADO_DET_DOC_PK|P              |ENABLED |VALIDATED    |ID_EXPEDIENTE_ANALISIS_ABOGADO_DET_DOC|1       |
|EXPEDIENTE_ASIGNACION              |SYS_C008366                           |C              |ENABLED |VALIDATED    |ID_EXPEDIENTE_ASIGNACION              |        |
|EXPEDIENTE_ASIGNACION              |EXPEDIENTE_ASIGNACION_PK              |P              |ENABLED |VALIDATED    |ID_EXPEDIENTE_ASIGNACION              |1       |
|EXPEDIENTE_OBSERVACION_EJECUCION   |SYS_C008368                           |C              |ENABLED |VALIDATED    |ID_EXPEDIENTE_OBSERVACION_EJECUCION   |        |
